,2022-02-28,"CleoBotol,Rokok Surya 12,Sunlight"
,2022-03-01,"TisuKering,Telur,AirMineral,Sunlight"
,2022-03-02,"CleoBotol,Rokok Samporna 16,Larutan,Gula,Sunlight"
,2022-03-03,"TisuKering,Saus,BumbuInstan,Sunlight"
,2022-03-04,"Pembalut,CleoBotol,Sunlight"
,2022-03-05,"CleoBotol,Rokok Surya 12,Sunlight"
,2022-03-06,"TisuKering,Telur,AirMineral"
,2022-03-07,Rokok Samporna 16
,2022-03-08,"CleoBotol,Rokok Samporna 16,Larutan,Gula"
,2022-03-09,"SusuKaleng,KecapManis,Tepung,BumbuInstan,MinumanSachet"
,2022-03-10,"Tepung,Gula,Rokok Surya 12,MinumanSachet,Saus"
,2022-03-11,"SusuKaleng,Rokok Surya 12,AirMineral,MieInstan,Gula"
,2022-03-12,"Telur,Rokok Surya 12,Larutan,Pepsodent"
,2022-03-13,"Pembalut,PopokBayi,CleoBotol,CleoKardus"
,2022-03-14,"Sunlight,Sabun,Rokok Surya 12,Sandal,TisuBasah,TisuKering"
,2022-03-15,"MieInstan,Gula,Saus,Shampoo,AirMineral,Minyak"
,2022-03-16,"CleoBotol,Rokok Samporna 16,Larutan,Gula,Minyak"
,2022-03-17,"AirMineral,KecapManis,BumbuInstan,Rokok Surya 12,Gula,SusuKaleng,Minyak"
,2022-03-18,"SusuKaleng,BumbuInstan,Sabun,Rokok Surya 12,KecapManis,Minyak,Pepsodent"
,2022-03-19,"Shampoo,Gula,Kopi,Rokok Surya 12,MinumanSachet,Minyak,Pepsodent"
,2022-03-20,"Teh,Rokok Surya 12,Gula,Sabun,SusuKaleng,BumbuInstan,Minyak,Pepsodent"
,2022-03-21,"Rokok Surya 12,AirMineral,Gula,Tepung,KecapManis,Minyak,Pepsodent"
,2022-03-22,"CleoBotol,Rokok Surya 12,Minyak,Pepsodent"
,2022-03-23,"TisuKering,Telur,AirMineral,Minyak,Pepsodent"
,2022-03-24,"Shampoo,Rokok Surya 12,AirMineral,KecapManis,Gula,Minyak,Pepsodent"
,2022-03-25,"SusuKaleng,KecapManis,Tepung,BumbuInstan,MinumanSachet,Minyak,Pepsodent"
,2022-03-26,"Tepung,Gula,Rokok Surya 12,MinumanSachet,Saus,Minyak"
,2022-03-27,"SusuKaleng,Rokok Surya 12,AirMineral,MieInstan,Gula,Minyak"
,2022-03-28,"Telur,Rokok Surya 12,Larutan,Pepsodent"
,2022-03-29,"Pembalut,PopokBayi,CleoBotol,CleoKardus"
,2022-03-30,"CleoBotol,Rokok Samporna 16,Larutan,Gula"
,2022-03-31,"SusuKaleng,BumbuInstan,Sabun,Rokok Surya 12,KecapManis"
